areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,England,E92000001,2020-09-19,33,339901
nation,England,E92000001,2020-09-18,1537,339868
nation,England,E92000001,2020-09-17,2896,338331
nation,England,E92000001,2020-09-16,3250,335435
nation,England,E92000001,2020-09-15,2903,332185
nation,England,E92000001,2020-09-14,2860,329282
nation,England,E92000001,2020-09-13,1688,326422
nation,England,E92000001,2020-09-12,2190,324734
nation,England,E92000001,2020-09-11,2849,322544
nation,England,E92000001,2020-09-10,3094,319695
nation,England,E92000001,2020-09-09,2844,316601
nation,England,E92000001,2020-09-08,2997,313757
nation,England,E92000001,2020-09-07,3447,310760
nation,England,E92000001,2020-09-06,2052,307313
nation,England,E92000001,2020-09-05,2185,305261
nation,England,E92000001,2020-09-04,2582,303076
nation,England,E92000001,2020-09-03,2660,300494
nation,England,E92000001,2020-09-02,2615,297834
nation,England,E92000001,2020-09-01,1915,295219
nation,England,E92000001,2020-08-31,1253,293304
nation,England,E92000001,2020-08-30,967,292051
nation,England,E92000001,2020-08-29,1034,291084
nation,England,E92000001,2020-08-28,1379,290050
nation,England,E92000001,2020-08-27,1325,288671
nation,England,E92000001,2020-08-26,1134,287346
nation,England,E92000001,2020-08-25,1053,286212
nation,England,E92000001,2020-08-24,1081,285159
nation,England,E92000001,2020-08-23,693,284078
nation,England,E92000001,2020-08-22,712,283385
nation,England,E92000001,2020-08-21,999,282673
nation,England,E92000001,2020-08-20,1218,281674
nation,England,E92000001,2020-08-19,1073,280456
nation,England,E92000001,2020-08-18,924,279383
nation,England,E92000001,2020-08-17,1138,278459
nation,England,E92000001,2020-08-16,527,277321
nation,England,E92000001,2020-08-15,647,276794
nation,England,E92000001,2020-08-14,1044,276147
nation,England,E92000001,2020-08-13,1018,275103
nation,England,E92000001,2020-08-12,1093,274085
nation,England,E92000001,2020-08-11,1213,272992
nation,England,E92000001,2020-08-10,1352,271779
nation,England,E92000001,2020-08-09,557,270427
nation,England,E92000001,2020-08-08,638,269870
nation,England,E92000001,2020-08-07,858,269232
nation,England,E92000001,2020-08-06,980,268374
nation,England,E92000001,2020-08-05,944,267394
nation,England,E92000001,2020-08-04,921,266450
nation,England,E92000001,2020-08-03,939,265529
nation,England,E92000001,2020-08-02,513,264590
nation,England,E92000001,2020-08-01,494,264077
nation,England,E92000001,2020-07-31,622,263583
nation,England,E92000001,2020-07-30,855,262961
nation,England,E92000001,2020-07-29,970,262106
nation,England,E92000001,2020-07-28,780,261136
nation,England,E92000001,2020-07-27,809,260356
nation,England,E92000001,2020-07-26,514,259547
nation,England,E92000001,2020-07-25,490,259033
nation,England,E92000001,2020-07-24,717,258543
nation,England,E92000001,2020-07-23,734,257826
nation,England,E92000001,2020-07-22,748,257092
nation,England,E92000001,2020-07-21,690,256344
nation,England,E92000001,2020-07-20,754,255654
nation,England,E92000001,2020-07-19,413,254900
nation,England,E92000001,2020-07-18,467,254487
nation,England,E92000001,2020-07-17,548,254020
nation,England,E92000001,2020-07-16,640,253472
nation,England,E92000001,2020-07-15,723,252832
nation,England,E92000001,2020-07-14,650,252109
nation,England,E92000001,2020-07-13,690,251459
nation,England,E92000001,2020-07-12,351,250769
nation,England,E92000001,2020-07-11,420,250418
nation,England,E92000001,2020-07-10,521,249998
nation,England,E92000001,2020-07-09,684,249477
nation,England,E92000001,2020-07-08,673,248793
nation,England,E92000001,2020-07-07,556,248120
nation,England,E92000001,2020-07-06,654,247564
nation,England,E92000001,2020-07-05,539,246910
nation,England,E92000001,2020-07-04,387,246371
nation,England,E92000001,2020-07-03,539,245984
nation,England,E92000001,2020-07-02,559,245445
nation,England,E92000001,2020-07-01,607,244886
nation,England,E92000001,2020-06-30,571,244279
nation,England,E92000001,2020-06-29,669,243708
nation,England,E92000001,2020-06-28,411,243039
nation,England,E92000001,2020-06-27,503,242628
nation,England,E92000001,2020-06-26,644,242125
nation,England,E92000001,2020-06-25,638,241481
nation,England,E92000001,2020-06-24,729,240843
nation,England,E92000001,2020-06-23,728,240114
nation,England,E92000001,2020-06-22,816,239386
nation,England,E92000001,2020-06-21,549,238570
nation,England,E92000001,2020-06-20,628,238021
nation,England,E92000001,2020-06-19,815,237393
nation,England,E92000001,2020-06-18,942,236578
nation,England,E92000001,2020-06-17,911,235636
nation,England,E92000001,2020-06-16,994,234725
nation,England,E92000001,2020-06-15,938,233731
nation,England,E92000001,2020-06-14,746,232793
nation,England,E92000001,2020-06-13,787,232047
nation,England,E92000001,2020-06-12,938,231260
nation,England,E92000001,2020-06-11,916,230322
nation,England,E92000001,2020-06-10,1084,229406
nation,England,E92000001,2020-06-09,1057,228322
nation,England,E92000001,2020-06-08,991,227265
nation,England,E92000001,2020-06-07,665,226274
nation,England,E92000001,2020-06-06,723,225609
nation,England,E92000001,2020-06-05,1022,224886
nation,England,E92000001,2020-06-04,1144,223864
nation,England,E92000001,2020-06-03,1245,222720
nation,England,E92000001,2020-06-02,1357,221475
nation,England,E92000001,2020-06-01,1312,220118
nation,England,E92000001,2020-05-31,987,218806
nation,England,E92000001,2020-05-30,999,217819
nation,England,E92000001,2020-05-29,1374,216820
nation,England,E92000001,2020-05-28,1572,215446
nation,England,E92000001,2020-05-27,1613,213874
nation,England,E92000001,2020-05-26,1460,212261
nation,England,E92000001,2020-05-25,1379,210801
nation,England,E92000001,2020-05-24,1196,209422
nation,England,E92000001,2020-05-23,1298,208226
nation,England,E92000001,2020-05-22,1798,206928
nation,England,E92000001,2020-05-21,2273,205130
nation,England,E92000001,2020-05-20,2353,202857
nation,England,E92000001,2020-05-19,2582,200504
nation,England,E92000001,2020-05-18,2211,197922
nation,England,E92000001,2020-05-17,1593,195711
nation,England,E92000001,2020-05-16,1767,194118
nation,England,E92000001,2020-05-15,2126,192351
nation,England,E92000001,2020-05-14,2208,190225
nation,England,E92000001,2020-05-13,2881,188017
nation,England,E92000001,2020-05-12,2925,185136
nation,England,E92000001,2020-05-11,3067,182211
nation,England,E92000001,2020-05-10,2006,179144
nation,England,E92000001,2020-05-09,1791,177138
nation,England,E92000001,2020-05-08,2622,175347
nation,England,E92000001,2020-05-07,3201,172725
nation,England,E92000001,2020-05-06,3267,169524
nation,England,E92000001,2020-05-05,3149,166257
nation,England,E92000001,2020-05-04,2842,163108
nation,England,E92000001,2020-05-03,2632,160266
nation,England,E92000001,2020-05-02,2742,157634
nation,England,E92000001,2020-05-01,4095,154892
nation,England,E92000001,2020-04-30,4312,150797
nation,England,E92000001,2020-04-29,4743,146485
nation,England,E92000001,2020-04-28,4119,141742
nation,England,E92000001,2020-04-27,4033,137623
nation,England,E92000001,2020-04-26,3133,133590
nation,England,E92000001,2020-04-25,3376,130457
nation,England,E92000001,2020-04-24,4365,127081
nation,England,E92000001,2020-04-23,4558,122716
nation,England,E92000001,2020-04-22,4797,118158
nation,England,E92000001,2020-04-21,3971,113361
nation,England,E92000001,2020-04-20,3694,109390
nation,England,E92000001,2020-04-19,3473,105696
nation,England,E92000001,2020-04-18,4126,102223
nation,England,E92000001,2020-04-17,4080,98097
nation,England,E92000001,2020-04-16,4367,94017
nation,England,E92000001,2020-04-15,4237,89650
nation,England,E92000001,2020-04-14,3562,85413
nation,England,E92000001,2020-04-13,3440,81851
nation,England,E92000001,2020-04-12,2944,78411
nation,England,E92000001,2020-04-11,3079,75467
nation,England,E92000001,2020-04-10,3581,72388
nation,England,E92000001,2020-04-09,4064,68807
nation,England,E92000001,2020-04-08,4298,64743
nation,England,E92000001,2020-04-07,4574,60445
nation,England,E92000001,2020-04-06,4391,55871
nation,England,E92000001,2020-04-05,3082,51480
nation,England,E92000001,2020-04-04,3384,48398
nation,England,E92000001,2020-04-03,4108,45014
nation,England,E92000001,2020-04-02,4067,40906
nation,England,E92000001,2020-04-01,4099,36839
nation,England,E92000001,2020-03-31,3789,32740
nation,England,E92000001,2020-03-30,3525,28951
nation,England,E92000001,2020-03-29,2441,25426
nation,England,E92000001,2020-03-28,2376,22985
nation,England,E92000001,2020-03-27,2654,20609
nation,England,E92000001,2020-03-26,2616,17955
nation,England,E92000001,2020-03-25,2266,15339
nation,England,E92000001,2020-03-24,2024,13073
nation,England,E92000001,2020-03-23,2017,11049
nation,England,E92000001,2020-03-22,1207,9032
nation,England,E92000001,2020-03-21,1035,7825
nation,England,E92000001,2020-03-20,1083,6790
nation,England,E92000001,2020-03-19,930,5707
nation,England,E92000001,2020-03-18,909,4777
nation,England,E92000001,2020-03-17,680,3868
nation,England,E92000001,2020-03-16,546,3188
nation,England,E92000001,2020-03-15,398,2642
nation,England,E92000001,2020-03-14,314,2244
nation,England,E92000001,2020-03-13,392,1930
nation,England,E92000001,2020-03-12,415,1538
nation,England,E92000001,2020-03-11,353,1123
nation,England,E92000001,2020-03-10,223,770
nation,England,E92000001,2020-03-09,124,547
nation,England,E92000001,2020-03-08,50,423
nation,England,E92000001,2020-03-07,47,373
nation,England,E92000001,2020-03-06,73,326
nation,England,E92000001,2020-03-05,47,253
nation,England,E92000001,2020-03-04,49,206
nation,England,E92000001,2020-03-03,53,157
nation,England,E92000001,2020-03-02,39,104
nation,England,E92000001,2020-03-01,20,65
nation,England,E92000001,2020-02-29,5,45
nation,England,E92000001,2020-02-28,11,40
nation,England,E92000001,2020-02-27,7,29
nation,England,E92000001,2020-02-26,4,22
nation,England,E92000001,2020-02-25,5,18
nation,England,E92000001,2020-02-24,2,13
nation,England,E92000001,2020-02-23,1,11
nation,England,E92000001,2020-02-22,0,10
nation,England,E92000001,2020-02-21,1,10
nation,England,E92000001,2020-02-20,0,9
nation,England,E92000001,2020-02-19,0,9
nation,England,E92000001,2020-02-18,0,9
nation,England,E92000001,2020-02-17,0,9
nation,England,E92000001,2020-02-16,0,9
nation,England,E92000001,2020-02-15,0,9
nation,England,E92000001,2020-02-14,0,9
nation,England,E92000001,2020-02-13,0,9
nation,England,E92000001,2020-02-12,0,9
nation,England,E92000001,2020-02-11,1,9
nation,England,E92000001,2020-02-10,0,8
nation,England,E92000001,2020-02-09,1,8
nation,England,E92000001,2020-02-08,4,7
nation,England,E92000001,2020-02-07,0,3
nation,England,E92000001,2020-02-06,0,3
nation,England,E92000001,2020-02-05,1,3
nation,England,E92000001,2020-02-04,0,2
nation,England,E92000001,2020-02-03,0,2
nation,England,E92000001,2020-02-02,0,2
nation,England,E92000001,2020-02-01,0,2
nation,England,E92000001,2020-01-31,0,2
nation,England,E92000001,2020-01-30,2,2
nation,Northern Ireland,N92000002,2020-09-17,100,8943
nation,Northern Ireland,N92000002,2020-09-16,136,8843
nation,Northern Ireland,N92000002,2020-09-15,102,8707
nation,Northern Ireland,N92000002,2020-09-14,130,8605
nation,Northern Ireland,N92000002,2020-09-13,96,8475
nation,Northern Ireland,N92000002,2020-09-12,116,8379
nation,Northern Ireland,N92000002,2020-09-11,83,8263
nation,Northern Ireland,N92000002,2020-09-10,90,8180
nation,Northern Ireland,N92000002,2020-09-09,103,8090
nation,Northern Ireland,N92000002,2020-09-08,57,7987
nation,Northern Ireland,N92000002,2020-09-07,75,7930
nation,Northern Ireland,N92000002,2020-09-06,108,7855
nation,Northern Ireland,N92000002,2020-09-05,94,7747
nation,Northern Ireland,N92000002,2020-09-04,133,7653
nation,Northern Ireland,N92000002,2020-09-03,109,7520
nation,Northern Ireland,N92000002,2020-09-02,92,7411
nation,Northern Ireland,N92000002,2020-09-01,66,7319
nation,Northern Ireland,N92000002,2020-08-31,54,7253
nation,Northern Ireland,N92000002,2020-08-30,35,7199
nation,Northern Ireland,N92000002,2020-08-29,44,7164
nation,Northern Ireland,N92000002,2020-08-28,90,7120
nation,Northern Ireland,N92000002,2020-08-27,81,7030
nation,Northern Ireland,N92000002,2020-08-26,70,6949
nation,Northern Ireland,N92000002,2020-08-25,66,6879
nation,Northern Ireland,N92000002,2020-08-24,45,6813
nation,Northern Ireland,N92000002,2020-08-23,52,6768
nation,Northern Ireland,N92000002,2020-08-22,43,6716
nation,Northern Ireland,N92000002,2020-08-21,81,6673
nation,Northern Ireland,N92000002,2020-08-20,72,6592
nation,Northern Ireland,N92000002,2020-08-19,41,6520
nation,Northern Ireland,N92000002,2020-08-18,43,6479
nation,Northern Ireland,N92000002,2020-08-17,53,6436
nation,Northern Ireland,N92000002,2020-08-16,21,6383
nation,Northern Ireland,N92000002,2020-08-15,22,6362
nation,Northern Ireland,N92000002,2020-08-14,57,6340
nation,Northern Ireland,N92000002,2020-08-13,51,6283
nation,Northern Ireland,N92000002,2020-08-12,40,6232
nation,Northern Ireland,N92000002,2020-08-11,38,6192
nation,Northern Ireland,N92000002,2020-08-10,44,6154
nation,Northern Ireland,N92000002,2020-08-09,25,6110
nation,Northern Ireland,N92000002,2020-08-08,28,6085
nation,Northern Ireland,N92000002,2020-08-07,17,6057
nation,Northern Ireland,N92000002,2020-08-06,18,6040
nation,Northern Ireland,N92000002,2020-08-05,29,6022
nation,Northern Ireland,N92000002,2020-08-04,19,5993
nation,Northern Ireland,N92000002,2020-08-03,18,5974
nation,Northern Ireland,N92000002,2020-08-02,9,5956
nation,Northern Ireland,N92000002,2020-08-01,10,5947
nation,Northern Ireland,N92000002,2020-07-31,14,5937
nation,Northern Ireland,N92000002,2020-07-30,11,5923
nation,Northern Ireland,N92000002,2020-07-29,11,5912
nation,Northern Ireland,N92000002,2020-07-28,13,5901
nation,Northern Ireland,N92000002,2020-07-27,12,5888
nation,Northern Ireland,N92000002,2020-07-26,1,5876
nation,Northern Ireland,N92000002,2020-07-25,4,5875
nation,Northern Ireland,N92000002,2020-07-24,14,5871
nation,Northern Ireland,N92000002,2020-07-23,12,5857
nation,Northern Ireland,N92000002,2020-07-22,8,5845
nation,Northern Ireland,N92000002,2020-07-21,12,5837
nation,Northern Ireland,N92000002,2020-07-20,3,5825
nation,Northern Ireland,N92000002,2020-07-19,3,5822
nation,Northern Ireland,N92000002,2020-07-18,7,5819
nation,Northern Ireland,N92000002,2020-07-17,9,5812
nation,Northern Ireland,N92000002,2020-07-16,19,5803
nation,Northern Ireland,N92000002,2020-07-15,15,5784
nation,Northern Ireland,N92000002,2020-07-14,7,5769
nation,Northern Ireland,N92000002,2020-07-13,3,5762
nation,Northern Ireland,N92000002,2020-07-12,4,5759
nation,Northern Ireland,N92000002,2020-07-11,6,5755
nation,Northern Ireland,N92000002,2020-07-10,4,5749
nation,Northern Ireland,N92000002,2020-07-09,5,5745
nation,Northern Ireland,N92000002,2020-07-08,6,5740
nation,Northern Ireland,N92000002,2020-07-07,5,5734
nation,Northern Ireland,N92000002,2020-07-06,8,5729
nation,Northern Ireland,N92000002,2020-07-05,2,5721
nation,Northern Ireland,N92000002,2020-07-04,1,5719
nation,Northern Ireland,N92000002,2020-07-03,8,5718
nation,Northern Ireland,N92000002,2020-07-02,3,5710
nation,Northern Ireland,N92000002,2020-07-01,4,5707
nation,Northern Ireland,N92000002,2020-06-30,2,5703
nation,Northern Ireland,N92000002,2020-06-29,4,5701
nation,Northern Ireland,N92000002,2020-06-28,5,5697
nation,Northern Ireland,N92000002,2020-06-27,4,5692
nation,Northern Ireland,N92000002,2020-06-26,3,5688
nation,Northern Ireland,N92000002,2020-06-25,5,5685
nation,Northern Ireland,N92000002,2020-06-24,4,5680
nation,Northern Ireland,N92000002,2020-06-23,8,5676
nation,Northern Ireland,N92000002,2020-06-22,4,5668
nation,Northern Ireland,N92000002,2020-06-21,3,5664
nation,Northern Ireland,N92000002,2020-06-20,5,5661
nation,Northern Ireland,N92000002,2020-06-19,14,5656
nation,Northern Ireland,N92000002,2020-06-18,7,5642
nation,Northern Ireland,N92000002,2020-06-17,5,5635
nation,Northern Ireland,N92000002,2020-06-16,11,5630
nation,Northern Ireland,N92000002,2020-06-15,19,5619
nation,Northern Ireland,N92000002,2020-06-14,8,5600
nation,Northern Ireland,N92000002,2020-06-13,10,5592
nation,Northern Ireland,N92000002,2020-06-12,10,5582
nation,Northern Ireland,N92000002,2020-06-11,10,5572
nation,Northern Ireland,N92000002,2020-06-10,16,5562
nation,Northern Ireland,N92000002,2020-06-09,11,5546
nation,Northern Ireland,N92000002,2020-06-08,14,5535
nation,Northern Ireland,N92000002,2020-06-07,5,5521
nation,Northern Ireland,N92000002,2020-06-06,8,5516
nation,Northern Ireland,N92000002,2020-06-05,24,5508
nation,Northern Ireland,N92000002,2020-06-04,11,5484
nation,Northern Ireland,N92000002,2020-06-03,11,5473
nation,Northern Ireland,N92000002,2020-06-02,21,5462
nation,Northern Ireland,N92000002,2020-06-01,24,5441
nation,Northern Ireland,N92000002,2020-05-31,26,5417
nation,Northern Ireland,N92000002,2020-05-30,13,5391
nation,Northern Ireland,N92000002,2020-05-29,20,5378
nation,Northern Ireland,N92000002,2020-05-28,28,5358
nation,Northern Ireland,N92000002,2020-05-27,33,5330
nation,Northern Ireland,N92000002,2020-05-26,28,5297
nation,Northern Ireland,N92000002,2020-05-25,41,5269
nation,Northern Ireland,N92000002,2020-05-24,31,5228
nation,Northern Ireland,N92000002,2020-05-23,54,5197
nation,Northern Ireland,N92000002,2020-05-22,33,5143
nation,Northern Ireland,N92000002,2020-05-21,56,5110
nation,Northern Ireland,N92000002,2020-05-20,76,5054
nation,Northern Ireland,N92000002,2020-05-19,73,4978
nation,Northern Ireland,N92000002,2020-05-18,63,4905
nation,Northern Ireland,N92000002,2020-05-17,38,4842
nation,Northern Ireland,N92000002,2020-05-16,40,4804
nation,Northern Ireland,N92000002,2020-05-15,66,4764
nation,Northern Ireland,N92000002,2020-05-14,74,4698
nation,Northern Ireland,N92000002,2020-05-13,75,4624
nation,Northern Ireland,N92000002,2020-05-12,93,4549
nation,Northern Ireland,N92000002,2020-05-11,77,4456
nation,Northern Ireland,N92000002,2020-05-10,62,4379
nation,Northern Ireland,N92000002,2020-05-09,54,4317
nation,Northern Ireland,N92000002,2020-05-08,72,4263
nation,Northern Ireland,N92000002,2020-05-07,97,4191
nation,Northern Ireland,N92000002,2020-05-06,80,4094
nation,Northern Ireland,N92000002,2020-05-05,75,4014
nation,Northern Ireland,N92000002,2020-05-04,75,3939
nation,Northern Ireland,N92000002,2020-05-03,55,3864
nation,Northern Ireland,N92000002,2020-05-02,91,3809
nation,Northern Ireland,N92000002,2020-05-01,100,3718
nation,Northern Ireland,N92000002,2020-04-30,116,3618
nation,Northern Ireland,N92000002,2020-04-29,93,3502
nation,Northern Ireland,N92000002,2020-04-28,75,3409
nation,Northern Ireland,N92000002,2020-04-27,71,3334
nation,Northern Ireland,N92000002,2020-04-26,45,3263
nation,Northern Ireland,N92000002,2020-04-25,54,3218
nation,Northern Ireland,N92000002,2020-04-24,83,3164
nation,Northern Ireland,N92000002,2020-04-23,73,3081
nation,Northern Ireland,N92000002,2020-04-22,99,3008
nation,Northern Ireland,N92000002,2020-04-21,131,2909
nation,Northern Ireland,N92000002,2020-04-20,112,2778
nation,Northern Ireland,N92000002,2020-04-19,41,2666
nation,Northern Ireland,N92000002,2020-04-18,86,2625
nation,Northern Ireland,N92000002,2020-04-17,156,2539
nation,Northern Ireland,N92000002,2020-04-16,138,2383
nation,Northern Ireland,N92000002,2020-04-15,134,2245
nation,Northern Ireland,N92000002,2020-04-14,96,2111
nation,Northern Ireland,N92000002,2020-04-13,107,2015
nation,Northern Ireland,N92000002,2020-04-12,73,1908
nation,Northern Ireland,N92000002,2020-04-11,67,1835
nation,Northern Ireland,N92000002,2020-04-10,95,1768
nation,Northern Ireland,N92000002,2020-04-09,101,1673
nation,Northern Ireland,N92000002,2020-04-08,103,1572
nation,Northern Ireland,N92000002,2020-04-07,130,1469
nation,Northern Ireland,N92000002,2020-04-06,106,1339
nation,Northern Ireland,N92000002,2020-04-05,60,1233
nation,Northern Ireland,N92000002,2020-04-04,87,1173
nation,Northern Ireland,N92000002,2020-04-03,103,1086
nation,Northern Ireland,N92000002,2020-04-02,105,983
nation,Northern Ireland,N92000002,2020-04-01,103,878
nation,Northern Ireland,N92000002,2020-03-31,112,775
nation,Northern Ireland,N92000002,2020-03-30,84,663
nation,Northern Ireland,N92000002,2020-03-29,62,579
nation,Northern Ireland,N92000002,2020-03-28,76,517
nation,Northern Ireland,N92000002,2020-03-27,68,441
nation,Northern Ireland,N92000002,2020-03-26,76,373
nation,Northern Ireland,N92000002,2020-03-25,57,297
nation,Northern Ireland,N92000002,2020-03-24,41,240
nation,Northern Ireland,N92000002,2020-03-23,41,199
nation,Northern Ireland,N92000002,2020-03-22,18,158
nation,Northern Ireland,N92000002,2020-03-21,21,140
nation,Northern Ireland,N92000002,2020-03-20,17,119
nation,Northern Ireland,N92000002,2020-03-19,14,102
nation,Northern Ireland,N92000002,2020-03-18,13,88
nation,Northern Ireland,N92000002,2020-03-17,9,75
nation,Northern Ireland,N92000002,2020-03-16,8,66
nation,Northern Ireland,N92000002,2020-03-15,2,58
nation,Northern Ireland,N92000002,2020-03-14,10,56
nation,Northern Ireland,N92000002,2020-03-13,11,46
